x, y, u, v, p, 
0.971132, 0.49, 0.333432, 0.0224043, -0.0686201, 
0.976906, 0.8, 0.324355, -0.000692853, -0.0663616, 
0.976906, 0.3, 0.15422, 0.0222558, -0.0595028, 
0.988453, 0.3, 0.0792989, 0.0127308, -0.0596214, 
0.976906, 0.5, 0.27796, 0.0183208, -0.0690097, 
0.994226, 0.59, 0.0712677, 0.00385009, -0.0708068, 
0.971132, 0.83, 0.355729, -0.00303992, -0.0648759, 
0.971132, 0.51, 0.346905, 0.0214683, -0.06921, 
0.976906, 0.78, 0.341881, 0.00103354, -0.06724, 
0.953812, 0.46, 0.458239, 0.0325914, -0.0672047, 
0.976906, 0.52, 0.288862, 0.0174803, -0.0695519, 
0.994226, 0.41, 0.0496188, 0.00658179, -0.0656636, 
0.976906, 0.24, 0.115026, 0.0205196, -0.0558672, 
0.971132, 0.25, 0.149525, 0.0248558, -0.0563883, 
0.976906, 0.74, 0.360963, 0.00446529, -0.0687303, 
0.976906, 0.72, 0.36378, 0.00608181, -0.0693311, 
0.971132, 0.39, 0.261037, 0.0260399, -0.0644432, 
0.976906, 0.7, 0.363093, 0.00759984, -0.0698302, 
0.976906, 0.76, 0.3539, 0.00277069, -0.0680316, 
0.971132, 0.29, 0.181476, 0.0262384, -0.0588153, 
0.994226, 0.31, 0.0342659, 0.00704651, -0.0602504, 
0.976906, 0.14, 0.0573403, 0.0139407, -0.0502111, 
0.971132, 0.55, 0.372951, 0.0194686, -0.0701055, 
0.976906, 0.16, 0.0677327, 0.0155796, -0.0512416, 
0.971132, 0.15, 0.077274, 0.0175107, -0.050636, 
0.971132, 0.17, 0.0904312, 0.0193811, -0.0516996, 
0.976906, 0.18, 0.0787588, 0.0170718, -0.0523366, 
0.976906, 0.64, 0.346875, 0.011532, -0.0706936, 
0.971132, 0.37, 0.245534, 0.0264362, -0.0634041, 
0.971132, 0.33, 0.213759, 0.0267314, -0.0611792, 
0.971132, 0.57, 0.385499, 0.0184048, -0.0704041, 
0.953812, 0.22, 0.190144, 0.0319864, -0.0542127, 
0.994226, 0.09, 0.00325064, 0.00314107, -0.0481564, 
0.971994, 0.0297742, 0.0137374, 0.0036947, -0.0463769, 
0.976906, 0.36, 0.193733, 0.0223521, -0.0629527, 
0.971132, 0.13, 0.0649026, 0.0154783, -0.0496447, 
0.976906, 0.54, 0.2995, 0.0166015, -0.0699985, 
0.971132, 0.79, 0.412083, 0.000891179, -0.0667738, 
0.988453, 0.84, 0.138129, -0.00319464, -0.0643979, 
0.988453, 0.6, 0.170335, 0.00717026, -0.070833, 
0.971137, 0.0700072, 0.0324931, 0.00864725, -0.0472705, 
