x, y, u, v, p, 
0.262169, 0.97565, 0.0399931, 0.00809735, 0.0423119, 
0.262734, 0.964826, 0.044519, 0.00391506, 0.0422671, 
0.399805, 0.018935, 0.0248371, -0.00444908, 0.0149903, 
0.394434, 0.00921219, 0.00968722, -0.00510779, 0.015683, 
0.680961, 0.0369303, 0.0554736, 0.000970413, -0.0248896, 
0.681358, 0.0263308, 0.0404089, -0.00187079, -0.024751, 
0.689336, 0.0296713, 0.043863, 0.000131453, -0.0257995, 
0.605197, 0.975124, 0.110537, 0.00514717, -0.0321889, 
0.609827, 0.965211, 0.14049, 0.00241879, -0.0329124, 
0.159341, 0.0338423, 0.0182892, -0.00768105, 0.0455593, 
0.159791, 0.0232862, 0.014048, -0.00776058, 0.045403, 
0.169059, 0.0281673, 0.0149055, -0.008377, 0.0446283, 
0.226653, 0.974105, 0.0352531, 0.00908052, 0.0495765, 
0.228405, 0.963494, 0.039176, 0.00538457, 0.0493218, 
0.93983, 0.966211, 0.130973, -0.00354404, -0.0586387, 
0.939467, 0.97686, 0.0987698, -0.0020006, -0.0584459, 
0.930791, 0.971597, 0.130885, -0.00311384, -0.0587232, 
0.115259, 0.0591545, 0.0175197, -0.0133791, 0.0496329, 
0.123711, 0.0540096, 0.0192816, -0.0112882, 0.0488749, 
0.124472, 0.0644924, 0.0218136, -0.015165, 0.0491508, 
0.879416, 0.95879, 0.279988, -0.00211763, -0.059175, 
0.870416, 0.965645, 0.250283, -0.00106334, -0.0589915, 
0.870388, 0.0348557, 0.0486661, 0.00639606, -0.0426074, 
0.879378, 0.041077, 0.0537827, 0.00861071, -0.0431526, 
0.67022, 0.978012, 0.118311, 0.00191956, -0.0425248, 
0.660917, 0.983724, 0.0968809, 0.00307859, -0.041296, 
0.559104, 0.965519, 0.11808, 0.00654399, -0.0237212, 
0.559222, 0.976422, 0.0923926, -0.000254697, -0.0237649, 
0.913674, 0.939981, 0.320803, -0.00464789, -0.0596878, 
0.922352, 0.935098, 0.317177, -0.0045073, -0.0597979, 
0.922467, 0.945077, 0.268356, -0.00391413, -0.0594724, 
0.922119, 0.965312, 0.172896, -0.00277192, -0.0589922, 
0.921756, 0.975961, 0.125888, -0.00258496, -0.058839, 
0.595425, 0.0243725, 0.0358007, -0.00069584, -0.0137855, 
0.591837, 0.0343824, 0.049654, -0.00489486, -0.0134707, 
0.921161, 0.0345488, 0.0371207, 0.0073446, -0.045107, 
0.920953, 0.0236878, 0.0254028, 0.00419764, -0.0449468, 
0.41797, 0.962929, 0.0796731, 0.00756166, 0.00675503, 
0.417892, 0.973118, 0.0677335, 0.000432865, 0.00670387, 
0.410756, 0.969412, 0.0670773, 0.00413392, 0.00866301, 
0.350603, 0.96535, 0.062748, 0.00715161, 0.0224578, 
0.355, 0.975269, 0.0517168, 0.000693134, 0.0216345, 
0.140487, 0.014816, 0.00850357, -0.0045842, 0.046821, 
0.150036, 0.0205131, 0.00915585, -0.00557944, 0.0461585, 
0.819196, 0.983796, 0.141854, -0.000156263, -0.0569612, 
0.809848, 0.978167, 0.17701, 0.000527534, -0.056509, 
0.457855, 0.97617, 0.0683633, -0.000297222, -0.00201005, 
0.454049, 0.965956, 0.0852656, 0.00653839, -0.00137914, 
0.178484, 0.0237123, 0.0152596, -0.00535365, 0.0436944, 
0.178033, 0.0342683, 0.0212029, -0.0107677, 0.0438853, 
0.0239973, 0.0348034, 0.00257357, -0.00214779, 0.0531739, 
0.0234616, 0.023621, 0.00235905, -0.00207678, 0.0529836, 
0.0240067, 0.965193, 0.00789013, 0.0041529, 0.070286, 
0.0234767, 0.976381, 0.0130135, 0.00290675, 0.0696018, 
0.560475, 0.0191578, 0.029206, -0.00301365, -0.00895812, 
0.565641, 0.00915775, 0.0118788, 0.00119823, -0.00958215, 
0.0886798, 0.0368475, 0.0112013, -0.00694141, 0.0507898, 
0.0866325, 0.0264571, 0.00849891, -0.00687674, 0.0507397, 
0.325027, 0.0589684, 0.048823, -0.0162684, 0.0260055, 
0.31599, 0.064621, 0.0530007, -0.0151405, 0.0273233, 
0.316367, 0.0540864, 0.0484825, -0.0168209, 0.0271857, 
0.280214, 0.0165355, 0.0169465, -0.00606871, 0.0314597, 
0.948604, 0.940579, 0.19663, -0.00554826, -0.0592274, 
0.956881, 0.934934, 0.179108, -0.00468925, -0.0593216, 
0.957082, 0.945645, 0.1507, -0.00376798, -0.058847, 
0.698556, 0.0245595, 0.0389884, 0.00184092, -0.0267727, 
0.698159, 0.0351589, 0.0535553, -0.00129334, -0.0268686, 
0.957364, 0.956099, 0.118441, -0.00383675, -0.0584583, 
0.749133, 0.0349155, 0.0543183, 0.00285465, -0.032227, 
0.744961, 0.0249112, 0.0394223, 0.000375568, -0.0317291, 
0.744987, 0.975567, 0.1778, 0.00328597, -0.0514904, 
0.749231, 0.965633, 0.230983, 0.00192889, -0.0518794, 
0.141599, 0.0541221, 0.0227531, -0.0141863, 0.0474908, 
0.141998, 0.0644803, 0.0238609, -0.0136196, 0.0477703, 
0.159441, 0.0438101, 0.0225846, -0.0126515, 0.0457458, 
0.168479, 0.0491306, 0.0229339, -0.0133346, 0.0450409, 
0.73342, 0.0257592, 0.0417268, 0.00319545, -0.0307232, 
0.731867, 0.036386, 0.0558129, 0.000529268, -0.0306619, 
0.289783, 0.97816, 0.0369978, 0.00414667, 0.0364144, 
0.280461, 0.984201, 0.038777, 0.00459429, 0.0381778, 
0.939774, 0.935031, 0.253218, -0.00453963, -0.0595843, 
0.939976, 0.945742, 0.206886, -0.00469719, -0.0592116, 
0.92237, 0.924918, 0.372132, -0.00431161, -0.0601505, 
0.931163, 0.930013, 0.309506, -0.00570622, -0.0598836, 
0.023438, 0.424919, -0.00136776, -0.00134668, 0.080545, 
0.0233423, 0.435212, -0.00353555, -0.000328993, 0.0812657, 
0.211162, 0.965041, 0.0373641, 0.00870087, 0.052214, 
0.215112, 0.97506, 0.0324866, 0.00307686, 0.0514382, 
0.670907, 0.0247609, 0.035615, 0.000483038, -0.0234886, 
0.679282, 0.0175019, 0.027811, 0.00020905, -0.0243589, 
0.403579, 0.973174, 0.0646098, 0.00706861, 0.0106502, 
0.403657, 0.962986, 0.0755167, 0.00226422, 0.0105412, 
0.123059, 0.0441689, 0.0178106, -0.0114511, 0.0486471, 
0.132272, 0.0495068, 0.0180197, -0.012206, 0.0480788, 
0.93115, 0.95057, 0.21549, -0.00482377, -0.0591909, 
0.922472, 0.955454, 0.21634, -0.00390358, -0.0592059, 
0.800587, 0.983781, 0.140727, 0.00124075, -0.055984, 
0.36863, 0.0344498, 0.038926, -0.00764439, 0.0196741, 
0.364684, 0.0244408, 0.0281191, -0.00882028, 0.0200821, 
0.36485, 0.975147, 0.053422, 0.0069161, 0.0195528, 
0.368919, 0.965314, 0.0654462, 0.00284567, 0.018834, 
0.333159, 0.0641744, 0.0556084, -0.0187844, 0.0248687, 
0.316225, 0.0443201, 0.0428023, -0.0109643, 0.0271243, 
0.307188, 0.0499727, 0.0418051, -0.0141376, 0.0283609, 
0.974301, 0.965454, 0.0554532, -0.00228367, -0.0575469, 
0.982629, 0.960252, 0.0435369, -0.00246209, -0.0575346, 
0.315342, 0.973983, 0.0484108, 0.00110298, 0.030504, 
0.842267, 0.0430446, 0.0622126, 0.00848631, -0.0408676, 
0.850252, 0.0359332, 0.0530783, 0.00667616, -0.0412631, 
0.558477, 0.95537, 0.138567, 0.00211725, -0.0236953, 
0.567866, 0.96031, 0.128795, 0.00459386, -0.0253887, 
0.575773, 0.95508, 0.148304, 0.00742586, -0.0269869, 
0.784331, 0.0367679, 0.0569773, 0.0049807, -0.0356865, 
0.78374, 0.0266253, 0.0426338, 0.00194016, -0.0354507, 
0.791123, 0.0301689, 0.0466437, 0.00424421, -0.0362639, 
0.784255, 0.97396, 0.212243, 0.00260157, -0.0547987, 
